По типу результата все методы можно разделить на:,С возвращаемым значением и без,Статические и не статические,Константы и переменные,Целочисленные и дробные,С аргументами и без
Какой класс является суперклассом для всех классов:,Object,Main,MainClass,Super,Class
В какой кодировке хранятся символы в переменной типа char:,UTF-16,UTF-32,UTF-8,ASCII,Другая
Результат сравнения - это:,Логическое значение,Объект,Число,Символ,Строкa
Какой из способов объявления массива некорректен:,[]int[] a = new int[5][5];,int a[][] = new int[5][5];,int[][] a = new int[5][5];,int[] a[] = new int[5][5];,Все способы корректны
Укажите правильную форму метода main:,public static void main(String[] args),public void main(String[] args),public static void main(),public static void Main(String[] args),public int main(String[] args)
Как узнать количество элементов в массиве?,arrayName.length,arrayName.size(),size(arrayName),arrayName.length(),length(arrayName)
"Какой цикл имеет инициализатор, условие и шаг?",for,infinite loop,do-while,for-each,while
Использование геттеров и сеттеров относится к принципу?,Инкапсуляция,Наследование,Полиморфизм,Барбары Лисков,Ко всем
Инициализированная переменная в Java имеет:,"Тип, имя, первоначальное значение","Имя, первоначальное значение","Тип, имя",Имя,"Тип, первоначальное значение"
Для объявления переменной в Java достаточно задать:,"Тип, имя","Тип, имя, первоначальное значение","Тип, первоначальное значение",Имя,"Имя, первоначальное значение"
Какие категории типов данных поддерживаются в Java:,"Примитивные, ссылочные (объектные)","Переменные, примитивные",Ссылочные (объектные),Примитивные,"Переменные, постоянные"
Как Java CodeConvention рекомендует называть классы и методы?,"Классы начинаются с заглавной буквы, методы со строчной","Классы пишутся заглавными буквами, методы целиком строчными","Классы пишутся строчными буквами, методы целиком заглавными","Классы начинаются со строчной буквы, методы с заглавной","Классы начинаются с заглавной буквы, методы тоже с заглавной"
Размер переменной типа char равен:,16 бит,32 бита,8 бит,64 бита,1 бит
